338;N;B;UL ;BULD  ;0001-01-01;2016-01-31;N;39.00;TABLE01                                            
338;N;B;UL ;BDAD  ;0001-01-01;2016-01-31;N;39.00;TABLE01                                            
338;N;C;25K;CONT  ;0001-01-01;2016-01-31;N;32.20;TABLE01                                            
338;N;C;25K;CNAD  ;0001-01-01;2016-01-31;N;32.20;TABLE01                                            
338;N;C;25K;PEBE  ;0001-01-01;2016-01-31;N;32.20;TABLE01                                            
338;N;C;25K;BELO  ;0001-01-01;2016-01-31;N;32.20;TABLE01                                            
338;N;C;25K;VALU  ;0001-01-01;2016-01-31;N;32.20;TABLE01                                            
338;N;C;25K;SPVL  ;0001-01-01;2016-01-31;N;32.20;TABLE01                                            
338;N;C;25K;PECY  ;0001-01-01;2016-01-31;N;32.20;TABLE01                                            
338;N;C;UL ;CONT  ;0001-01-01;2016-01-31;N;39.00;TABLE01                                            
338;N;C;UL ;CNAD  ;0001-01-01;2016-01-31;N;39.00;TABLE01                                            
338;N;C;UL ;PEBE  ;0001-01-01;2016-01-31;N;39.00;TABLE01                                            
338;N;C;UL ;BELO  ;0001-01-01;2016-01-31;N;39.00;TABLE01                                            
338;N;C;UL ;VALU  ;0001-01-01;2016-01-31;N;39.00;TABLE01                                            
338;N;C;UL ;SPVL  ;0001-01-01;2016-01-31;N;39.00;TABLE01                                            
338;N;C;UL ;PECY  ;0001-01-01;2016-01-31;N;39.00;TABLE01                                            
338;N;A;25K;BULD  ;0001-01-01;2016-01-31;N;32.20;TABLE01                                            
338;N;A;25K;BDAD  ;0001-01-01;2016-01-31;N;32.20;TABLE01                                            
338;N;A;25K;CONT  ;0001-01-01;2016-01-31;N;32.20;TABLE01                                            
338;N;A;25K;CNAD  ;0001-01-01;2016-01-31;N;32.20;TABLE01                                            
338;N;A;25K;PEBE  ;0001-01-01;2016-01-31;N;32.20;TABLE01                                            
338;N;A;25K;BELO  ;0001-01-01;2016-01-31;N;32.20;TABLE01                                            
338;N;A;25K;VALU  ;0001-01-01;2016-01-31;N;32.20;TABLE01                                            
338;N;A;25K;SPVL  ;0001-01-01;2016-01-31;N;32.20;TABLE01                                            
338;N;A;25K;PECY  ;0001-01-01;2016-01-31;N;32.20;TABLE01                                            
338;N;A;UL ;BULD  ;0001-01-01;2016-01-31;N;39.00;TABLE01                                            
338;N;A;UL ;BDAD  ;0001-01-01;2016-01-31;N;39.00;TABLE01                                            
338;N;A;UL ;CONT  ;0001-01-01;2016-01-31;N;39.00;TABLE01                                            
338;N;A;UL ;CNAD  ;0001-01-01;2016-01-31;N;39.00;TABLE01                                            
338;N;A;UL ;PEBE  ;0001-01-01;2016-01-31;N;39.00;TABLE01                                            
338;N;A;UL ;BELO  ;0001-01-01;2016-01-31;N;39.00;TABLE01                                            
338;N;A;UL ;VALU  ;0001-01-01;2016-01-31;N;39.00;TABLE01                                            
338;N;A;UL ;SPVL  ;0001-01-01;2016-01-31;N;39.00;TABLE01                                            
338;N;A;UL ;PECY  ;0001-01-01;2016-01-31;N;39.00;TABLE01                                            
338;Y;B;UL ;BULD  ;0001-01-01;2015-12-31;N;53.80;TABLE01                                            
338;Y;B;UL ;BDAD  ;0001-01-01;2015-12-31;N;53.80;TABLE01                                            
338;Y;C;25K;CONT  ;0001-01-01;2015-12-31;N;48.70;TABLE01                                            
338;Y;C;25K;CNAD  ;0001-01-01;2015-12-31;N;48.70;TABLE01                                            
338;Y;C;25K;PEBE  ;0001-01-01;2015-12-31;N;53.80;TABLE01                                            
338;Y;C;25K;BELO  ;0001-01-01;2015-12-31;N;53.80;TABLE01                                            
338;Y;C;25K;VALU  ;0001-01-01;2015-12-31;N;53.80;TABLE01                                            
